news_no,title,date,keyword,url,site
1,주69시간 '근무→야근→기절→병원' 이게 내 미래야?,3월 8일,69시간근무제,./articles/CBMiNmh0dHBzOi8vd3d3LmhhbmkuY28ua3IvYXJ0aS9zb2NpZXR5L2xhYm9yLzEwODI2MjUuaHRtbNIBAA?hl=ko&gl=KR&ceid=KR%3Ako,구글
2,69시간 근무제 “4일 내내 밤샘 근무도 합법적”... '기절 시간표'도 등장,3월 7일,69시간근무제,./articles/CBMiOmh0dHBzOi8vd3d3Lmhhbmtvb2tpbGJvLmNvbS9OZXdzL1JlYWQvQTIwMjMwMzA3MDkzNTAwMDM3OTfSAQA?hl=ko&gl=KR&ceid=KR%3Ako,구글
3,주69시간제 반기는 ‘주80시간’ 전공의들 “우리부터 적용해달라”,3월 8일,69시간근무제,./articles/CBMiPmh0dHA6Ly93d3cuZG9jZG9jZG9jLmNvLmtyL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz0zMDAzNDMy0gFBaHR0cDovL3d3dy5kb2Nkb2Nkb2MuY28ua3IvbmV3cy9hcnRpY2xlVmlld0FtcC5odG1sP2lkeG5vPTMwMDM0MzI?hl=ko&gl=KR&ceid=KR%3Ako,구글
4,주 69시간 근무제라는 탁상공론 vs. 청년 노동자가 말하는 현실,3월 27일,69시간근무제,./articles/CBMiGWh0dHBzOi8vc2xvd25ld3Mua3IvODg1ODnSAQA?hl=ko&gl=KR&ceid=KR%3Ako,구글
5,주69시간 하자면서 “난 칼퇴”…중앙노동위원장의 노동 시간은?,3월 29일,69시간근무제,./articles/CBMiNmh0dHBzOi8vd3d3LmhhbmkuY28ua3IvYXJ0aS9zb2NpZXR5L2xhYm9yLzEwODU0MjEuaHRtbNIBAA?hl=ko&gl=KR&ceid=KR%3Ako,구글
6,주 69시간 맞불로 나온 ‘주 4일제’ 통할까 < 노동시간 제도 개편 < 기사 ...,6일 전,69시간근무제,./articles/CBMiP2h0dHBzOi8vd3d3LmxhYm9ydG9kYXkuY28ua3IvbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTIxNDI0N9IBAA?hl=ko&gl=KR&ceid=KR%3Ako,구글
7,근로시간 개편안 방향 맞지만 방법이 틀려 [김상철의 경제 톺아보기],12시간 전,69시간근무제,./articles/CBMiPmh0dHBzOi8vd3d3LnNpc2Fqb3VybmFsLmNvbS9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89MjU5OTcw0gEA?hl=ko&gl=KR&ceid=KR%3Ako,구글
8,"尹대통령, '주69시간 근무제' 재검토 지시",3월 14일,69시간근무제,./articles/CBMiO2h0dHBzOi8vd3d3LnByZXNzaWFuLmNvbS9wYWdlcy9hcnRpY2xlcy8yMDIzMDMxNDExNDcyOTA5NzIz0gEA?hl=ko&gl=KR&ceid=KR%3Ako,구글
9,[이 시각 세계] 호주·이탈리아 언론 '한국 주 69시간 근무제' 보도,3월 15일,69시간근무제,./articles/CBMiRmh0dHBzOi8vaW1uZXdzLmltYmMuY29tL3JlcGxheS8yMDIzL253dG9kYXkvYXJ0aWNsZS82NDY0MDg1XzM2MjA3Lmh0bWzSAUZodHRwczovL2ltbmV3cy5pbWJjLmNvbS9yZXBsYXkvMjAyMy9ud3RvZGF5L2FydGljbGUvNjQ2NDA4NV8zNjIwOC5odG1s?hl=ko&gl=KR&ceid=KR%3Ako,구글
10,"[주간팩트체크] ‘강제노동 없었다’, ‘MZ세대 주 69시간 근무 선호’, ‘한달 사교육비 41만원’",3월 20일,69시간근무제,./articles/CBMiOWh0dHBzOi8vd3d3Lm5ld3N0b2YuY29tL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz0yMDEyMtIBPGh0dHBzOi8vd3d3Lm5ld3N0b2YuY29tL25ld3MvYXJ0aWNsZVZpZXdBbXAuaHRtbD9pZHhubz0yMDEyMg?hl=ko&gl=KR&ceid=KR%3Ako,구글
