Column1,분류일련번호,백문일련번호,대분류,중분류,백문백답주제명,백문내용,백답간략내용,서비스 시간
0,25,877,가정법률,이혼,자녀 학대,"남편이 아들을 매일 때려서 피멍이 가실 날이 없어요. 아들을 위해서라도 이혼하고 싶은데 가능할까요?
","자기의 직계비속(딸, 아들 등)이 배우자로부터 심히 부당한 대우를 받았다면 재판상 이혼을 청구할 수 있습니다.<br/>심히 부당한 대우란<br/>혼인관계를 지속하는 것이 고통스러울 정도로 자기의 직계존속이 배우자에게 폭행, 학대 또는 모욕을 당하는 것을 말합니다. 심히 부당한 대우는 개개의 구체적인 사안에 따라 그 정도와 상황을 고려해서 평가됩니다.<br/>",2010-10-10 0:00
1,25,892,가정법률,이혼,이혼소송을 당했을 때,이혼소송을 당했어요. 어떻게 대응해야 하나요?,"이혼소송을 당해 소장 부본을 송달받았다면 30일 이내에 답변서를 제출해야 합니다(공시송달은 제외). 이 기한 내에 답변서를 제출하지 않으면 법원은 피고가 소장에서 상대방이 주장한 내용을 인정한 것으로 보고 변론 없이 원고승소판결을 할 수 있습니다.<br/>이혼을 원하는 경우에는<br/>① 배우자와 합의해서 이혼소송을 취하하고 협의이혼할 수 있으며,<br/>② 답변서를 제출하지 않거나,<br/>",2010-10-10 0:00
2,25,902,가정법률,이혼,유아인도심판,"제가 양육자로 결정되었는데 상대방이 아이를 보내지 않고 있어요. 어떻게 해야 아이를 데려올 수 있을까요?
","이혼 후 상대방이 양육자에게 자녀를 보내주지 않는다고 해서 임의대로 자녀를 데려오면 추후 문제가 될 수 있습니다. 이런 경우에는 우선 상대방과 합의를 시도해 보고, 합의가 이루어지지 않으면 가정법원에 자녀를 보내달라는 내용의 유아인도심판을 청구할 수 있습니다.<br/>상대방이 유아인도명령을 받고도 자녀를 보내지 않으면 가정법원에 이행명령을 신청해서 그 의무를 이행하도록 촉구할 수 있습니다.<br/>",2010-10-10 0:00
3,25,893,가정법률,이혼,이혼판결에 대한 불복,"법원에서 내린 이혼판결에 반대하는 경우에는 어떻게 해야 하나요?
",이혼판결에 대해 불복하는 경우에는 판결정본의 송달 전 또는 판결정본이 송달된 날로부터 14일 이내에 항소장 또는 상고장을 제출해서 항소 또는 상고할 수 있습니다.<br/>◇ 항소(抗訴)<br/>☞ 제1심법원의 판결에 불복하는 경우에 상급법원에 제기하는 불복신청<br/>◇ 상고(上告)<br/>,2010-10-10 0:00
4,25,876,가정법률,이혼,심한 시집살이,"시어머니를 모시고 살고 있어요. 
그런데 시어머니가 혼수를 적게 해왔다면서 매일 화를 내고 친정부모님을 욕하세요. 
남편은 좋은 사람이지만 이렇게는 못 살 것 같아요. 이런 경우에도 이혼할 수 있나요?
","배우자 또는 그 직계존속(시부모, 장인·장모 등)으로부터 심히 부당한 대우를 받았다면 재판상 이혼을 청구할 수 있습니다.<br/>배우자 또는 그 직계존속의 심히 부당한 대우란<br/>혼인관계의 지속을 강요하는 것이 가혹하다고 여겨질 정도로 배우자 또는 직계존속으로부터 폭행, 학대 또는 모욕을 당하는 것을 말합니다. 심히 부당한 대우는 개개의 구체적인 사안에 따라 그 정도와 상황을 고려해서 평가됩니다.<br/>",2010-10-10 0:00
5,25,885,가정법률,이혼,적반하장,"아내가 바람을 피웠어요. 
아내도 이혼을 원하고 저도 이혼하고 싶은 마음을 굴뚝같지만 이혼해 주면 바람난 상대방하고 재혼할까봐 이혼을 못하겠다고 했더니 아내가 재판으로 이혼하자고 해요. 
아내가 재판상 이혼을 청구할 자격이 되나요?
","판례에 따르면 혼인파탄에 대해 주된 책임이 있는 유책배우자는 그 파탄을 이유로 스스로 이혼청구를 할 수 없는 것이 원칙입니다.<br/>그러나 상대방도 혼인을 지속할 의사가 없음이 객관적으로 명백함에도 불구하고 오기나 보복적 감정에서 이혼에 불응하는 등 특별한 사정이 있거나,<br/>부부 쌍방의 책임이 동등하거나 경중을 가리기 어려운 경우에는 예외적으로 유책배우자의 이혼청구를 인정하고 있습니다.<br/>",2010-10-10 0:00
6,25,882,가정법률,이혼,장기간 가출,"아내가 집을 나가서 연락이 끊긴지 4년이 넘었어요. 
아내를 상대로 재판상 이혼을 청구할 수 있나요?
",배우자의 생사가 3년 이상 분명하지 않을 때에는 재판상 이혼을 청구할 수 있습니다.<br/>그러나 배우자로부터 3년 이상 연락이 없더라도 그가 살아있는 것을 알고 있는 경우에는 재판상 이혼을 청구할 수 없습니다.<br/>생사불명이란<br/>배우자가 살아있는지를 전혀 증명할 수 없는 상태가 이혼 청구 당시까지 3년 이상 계속되는 것을 말합니다.<br/>,2010-10-10 0:00
7,25,900,가정법률,이혼,면접교섭권,"이혼해도 자녀를 만날 수 있나요?
","이혼 후 자녀를 직접 양육하지 않는 부모 일방과 자녀는 서로 만나거나 연락할 수 있는 면접교섭권을 가집니다.<br/>면접교섭권의 행사는 자녀의 복리를 우선적으로 고려해서 이루어져야 하므로, 자녀가 만남을 꺼려하는 등 자녀의 복리를 위해 필요한 경우에는 면접교섭이 제한되거나 배제될 수 있습니다.<br/>상대방이 자녀와의 면접교섭을 부당하게 방해한다면 가정법원에 이행명령을 신청해서 그 의무를 이행하도록 촉구할 수 있습니다.<br/>",2017-02-21 17:07
8,25,887,가정법률,이혼,상대방 재산 확보,"이혼소송 중인데 상대방이 재산을 마음대로 처분해서 나중에 재산분할을 못 받을까 걱정돼요. 
좋은 방법이 있나요?
","상대방에게 재산분할이나 위자료를 받아야 할 경우에는 미리 상대방 명의의 재산에 대해 사전처분이나 가압류·가처분신청을 해서 이혼소송 중에 상대방이 임의로 재산을 처분하지 못하도록 할 수 있습니다.<br/>사전처분은 이혼소송을 제기하거나 조정신청을 한 이후에 그 사건을 관할하는 법원에 신청할 수 있지만,<br/>가압류·가처분은 이혼소송과 별도로 신청할 수 있어서 조정신청이나 이혼소송을 하기 전에도 할 수 있습니다.<br/>◇ 사전처분의 유형<br/>",2010-10-10 0:00
9,25,896,가정법률,이혼,위자료청구 대상과 액수,"시부모가 우리 결혼생활에 심하게 간섭하고 폭언을 일삼는 것 때문에 이혼하게 되었는데 시부모에게 위자료를 청구할 수 있나요?
","위자료는 이혼의 원인을 제공한 사람에게 청구할 수 있습니다.<br/>즉, 배우자가 혼인파탄에 책임이 있다면 그 배우자를 상대로, 시부모나 장인·장모 등 제3자가 혼인파탄에 책임이 있다면 그 제3자를 상대로 위자료를 청구할 수 있습니다.<br/>따라서 시부모의 심히 부당한 대우로 인해 이혼하는 경우에는 시부모에게 위자료를 청구할 수 있습니다.<br/>판례에 따르면 위자료의 액수는 혼인파탄의 원인과 책임 정도, 재산상태, 혼인기간 및 생활정도, 직업 등 신분사항, 자녀 양육관계 등을 고려해서 정해지며, 혼인파탄의 원인이 부부 모두에게 있는 경우에는 부부 쌍방이 받은 정신적 고통의 정도, 즉 불법행위책임의 비율에 따라 산정됩니다.<br/>",2010-10-10 0:00
