Column1,law_no,main,middle,small,question,answer
0,201441001,해고,해고일반,,사실심변론종결시의 의미,"사실심은 1심 재판과 2심 재판까지를 말하는데(3심은 법률심입니다), 변론종결시는 법원이 판결 선고 전에 당사자의 주장과 입증자료의 제출을 종결하는 시기를 말합니다. 따라서 항소없이 1심에서 확정될 경우 1심 변론종결시가, 2심에서 확정될 경우 2심 변론종결시가 사실심변론종결시가 됩니다."
1,204401001,해고,해고일반,,사직서와 사직원의 차이,"사직이란 근로자가 일방적으로 근로계약관계를 종료시키는 해약의 고지라고 할 것인 반면, 사직원이란 근로자가 근로계약관계의 합의해지를 청약하고 이에 대하여 사용자가 승낙함으로써 당해근로관계를 종료시키게 되는 경우"
2,213464001,임금,노동 일반,휴가,미사용 연차수당을 미지급할 시 회사가 입는 불이익은 무엇인가요?,"사용자가 미사용 연차수당을 근로자에 지급하지 않을 경우, 3년 이하의 징역 또는 2천만원 이하의 벌금에 처하며 단, 근로자가 처벌을 원하지 않을 경우에는 형사처벌이 불가능합니다(근기법 제109조 제1항). 또한 미지급 임금에 대한 지연이자를 추가로 지급해야합니다(근기법 시행령 제17조)."
3,214454001,해고,해고예고,,권고사직을 하는 경우에도 해고예고 수당이 발생하나요?,일반적으로 권고사직은 ‘회사로부터 사직을 권유받고 노동자가 이를 수락해 사직하는 자진퇴사’에 해당합니다. 권고사직에 따른 사직서를 제출하는 경우는 ‘사용자가 일방적으로 근로관계를 종료시키는 해고’에 해당하지 않으므로 근로기준법상의 해고예고수당이 발생하지 않습니다.
4,211057001,해고,해고의 제한,,근로기준법 제23조의 해고의 정당한 이유는 무엇을 의미하나요,"근로기준법 제23조의 정당한 이유, 즉 '사회통념상 근로관계를 계속할 수 없을 정도로 근로자에게 책임있는 사유'란 사용자의 사업의 목적과 성격, 사업장의 여건, 당해 근로자의 지위 및 담당직무의 내용, 비위행위의 동기와 경위, 기업질서가 문란하게 될 위험성, 과거의 근무태도 등 여러가지 사정을 종합적으로 검토하여 판단합니다(대법2001두10455, 2002.5.8.)."
5,200608002,임금,노동 일반,근로기준법 적용 ,퇴직금 계산시 가족수당이 임금에 해당되나요.,"가족수당은 회사에게 그 지급의무가 있는 것이고 일정한 요건에 해당하는 근로자에게 일률적으로 지급되어 왔다면, 이는 임의적·은혜적인 급여가 아니라 근로에 대한 대가의 성질을 가지는 것으로서 임금에 해당합니다(대법원 2006. 05. 26. 선고 2003다54322,54339 판결). 그렇다면 퇴직금을 산정하는 임금에 포함됩니다."
6,200465001,임금,임금일반,,식사의 제공 또는 식사대가 연차유급휴가를 사용할 때 지급하여야 하는 임금에 포함되나요.,"식사대가 근로자들이 실제 식사를 하는지 여부와 상관 없이 정기적, 일률적으로 지급되었다면 연차유급휴가금 산정 기준이 되는 임금에 포함됩니다(대법원 1993. 5. 27. 선고 92다20316 판결)."
7,201219001,임금,평균임금,,"회사에서 월의 중도에 퇴직해도 한 달 급여를 모두 지급한다고 규정되어 있는 경우, 마지막 달 급여 전부가 퇴직금 산정에 포함되나요","월의 중도에 퇴직하였다면, 중도 퇴직의 경우에도 퇴직한 달에 급여 전액을 지급한다는 취업규칙이 있다 하더라도 월 보수 전액을 모두 평균임금에 산입하여 퇴직금을 정할 수는 없습니다(대법원 1999. 5. 12. 선고 97다5015 전원합의체 판결)."
8,211860001,임금,노동 일반,근로계약,기간제 근로자로서 근로계약서를 작성하지 않은 경우 구두계약의 효력이 있나요,"구두 근로계약도 효력은 있으나 근로계약서를 작성하지 않으면 500만원 이하의 과태료에 처해질 수 있습니다. 기간제근로자와 근로계약서를 작성할 경우 1) 근로계약기간에 관한 사항, 2) 근로시간·휴게에 관한 사항, 3) 임금의 구성항목·계산방법 및 지불방법에 관한 사항, 4) 휴일·휴가에 관한 사항, 5) 취업의 장소와 종사하여야 할 업무에 관한 사항 등을 명시하여야 합니다."
9,200809001,임금,임금채권,,대위변제는 무슨 의미인가요,"변제에 의한 대위란, 채무자 또는 제3채무자와 함께 채무를 부담하는 자 등이 채무자를 위해 변제한 경우에, 채무자에 대하여 구상할 수 있는 범위에서 채권자의 채권을 행사할 수 있는 제도를 말합니다."
